dataset,idx,variant_id,transform,target,validation_note,semantic_decision,syntax_risk,audit_rationale,changed,line_count,char_count,code_hash
codexglue,23299,23299__blank_line_expansion,blank_line_expansion,1,blank lines inserted after semicolons,preserved,low,Adds whitespace after semicolon-terminated statements; no token-level control or data dependency is introduced.,True,979,20592,8120d8d938a1
codexglue,1227,1227__blank_line_expansion,blank_line_expansion,0,blank lines inserted after semicolons,preserved,low,Adds whitespace after semicolon-terminated statements; no token-level control or data dependency is introduced.,True,65,921,ff5560b63a8f
codexglue,3076,3076__blank_line_expansion,blank_line_expansion,1,blank lines inserted after semicolons,preserved,low,Adds whitespace after semicolon-terminated statements; no token-level control or data dependency is introduced.,True,35,715,4c783afb9d39
codexglue,19256,19256__blank_line_expansion,blank_line_expansion,0,blank lines inserted after semicolons,preserved,low,Adds whitespace after semicolon-terminated statements; no token-level control or data dependency is introduced.,True,103,1364,b8872c1a8983
codexglue,25149,25149__blank_line_expansion,blank_line_expansion,1,blank lines inserted after semicolons,preserved,low,Adds whitespace after semicolon-terminated statements; no token-level control or data dependency is introduced.,True,29,533,17b7152aae60
codexglue,25711,25711__blank_line_expansion,blank_line_expansion,0,blank lines inserted after semicolons,preserved,low,Adds whitespace after semicolon-terminated statements; no token-level control or data dependency is introduced.,True,29,457,37cdf2715320
codexglue,9434,9434__blank_line_expansion,blank_line_expansion,1,blank lines inserted after semicolons,preserved,low,Adds whitespace after semicolon-terminated statements; no token-level control or data dependency is introduced.,True,187,2889,bc6f84dfaf1a
codexglue,23758,23758__blank_line_expansion,blank_line_expansion,0,blank lines inserted after semicolons,preserved,low,Adds whitespace after semicolon-terminated statements; no token-level control or data dependency is introduced.,True,47,682,b8faf5514846
codexglue,21034,21034__blank_line_expansion,blank_line_expansion,1,blank lines inserted after semicolons,preserved,low,Adds whitespace after semicolon-terminated statements; no token-level control or data dependency is introduced.,True,65,914,da9a55ae62d2
codexglue,26003,26003__blank_line_expansion,blank_line_expansion,0,blank lines inserted after semicolons,preserved,low,Adds whitespace after semicolon-terminated statements; no token-level control or data dependency is introduced.,True,43,624,b8e4b6f6a54b
codexglue,3811,3811__blank_line_expansion,blank_line_expansion,0,blank lines inserted after semicolons,preserved,low,Adds whitespace after semicolon-terminated statements; no token-level control or data dependency is introduced.,True,21,440,138d23c97ffc
codexglue,1108,1108__blank_line_expansion,blank_line_expansion,0,blank lines inserted after semicolons,preserved,low,Adds whitespace after semicolon-terminated statements; no token-level control or data dependency is introduced.,True,25,389,d124566b9bee
codexglue,13829,13829__blank_line_expansion,blank_line_expansion,0,blank lines inserted after semicolons,preserved,low,Adds whitespace after semicolon-terminated statements; no token-level control or data dependency is introduced.,True,205,3405,a38a399d253b
codexglue,5104,5104__blank_line_expansion,blank_line_expansion,0,blank lines inserted after semicolons,preserved,low,Adds whitespace after semicolon-terminated statements; no token-level control or data dependency is introduced.,True,129,2594,c7eb623d3b0b
codexglue,15823,15823__blank_line_expansion,blank_line_expansion,0,blank lines inserted after semicolons,preserved,low,Adds whitespace after semicolon-terminated statements; no token-level control or data dependency is introduced.,True,37,556,8a2ff3b20540
codexglue,24328,24328__blank_line_expansion,blank_line_expansion,1,blank lines inserted after semicolons,preserved,low,Adds whitespace after semicolon-terminated statements; no token-level control or data dependency is introduced.,True,39,578,585e304ad98e
codexglue,1089,1089__blank_line_expansion,blank_line_expansion,1,blank lines inserted after semicolons,preserved,low,Adds whitespace after semicolon-terminated statements; no token-level control or data dependency is introduced.,True,17,339,45c8301fdf87
codexglue,3815,3815__blank_line_expansion,blank_line_expansion,0,blank lines inserted after semicolons,preserved,low,Adds whitespace after semicolon-terminated statements; no token-level control or data dependency is introduced.,True,37,587,b165ed9b057c
codexglue,26090,26090__blank_line_expansion,blank_line_expansion,1,blank lines inserted after semicolons,preserved,low,Adds whitespace after semicolon-terminated statements; no token-level control or data dependency is introduced.,True,73,1268,1c643b23f759
codexglue,6844,6844__blank_line_expansion,blank_line_expansion,0,blank lines inserted after semicolons,preserved,low,Adds whitespace after semicolon-terminated statements; no token-level control or data dependency is introduced.,True,9,83,e1dddda588a3
codexglue,9399,9399__blank_line_expansion,blank_line_expansion,1,blank lines inserted after semicolons,preserved,low,Adds whitespace after semicolon-terminated statements; no token-level control or data dependency is introduced.,True,21,444,fd3c8cfd2cea
codexglue,5457,5457__blank_line_expansion,blank_line_expansion,0,blank lines inserted after semicolons,preserved,low,Adds whitespace after semicolon-terminated statements; no token-level control or data dependency is introduced.,True,23,501,688e5eda1993
codexglue,21383,21383__blank_line_expansion,blank_line_expansion,1,blank lines inserted after semicolons,preserved,low,Adds whitespace after semicolon-terminated statements; no token-level control or data dependency is introduced.,True,37,488,60e365912e01
codexglue,2946,2946__blank_line_expansion,blank_line_expansion,1,blank lines inserted after semicolons,preserved,low,Adds whitespace after semicolon-terminated statements; no token-level control or data dependency is introduced.,True,133,2104,8d7a7080bdbd
codexglue,16521,16521__blank_line_expansion,blank_line_expansion,0,blank lines inserted after semicolons,preserved,low,Adds whitespace after semicolon-terminated statements; no token-level control or data dependency is introduced.,True,53,913,4efa8fd6e93e
codexglue,14379,14379__brace_line_shift,brace_line_shift,1,first function opening brace shifted,preserved,low,Moves the first opening brace to a conventional layout without changing statement order.,True,44,767,c3180fbbad25
codexglue,14359,14359__brace_line_shift,brace_line_shift,1,first function opening brace shifted,preserved,low,Moves the first opening brace to a conventional layout without changing statement order.,True,18,302,9e688d240ce6
codexglue,2911,2911__brace_line_shift,brace_line_shift,0,first function opening brace shifted,preserved,low,Moves the first opening brace to a conventional layout without changing statement order.,True,58,833,a1587fac62ea
codexglue,23116,23116__brace_line_shift,brace_line_shift,0,first function opening brace shifted,preserved,low,Moves the first opening brace to a conventional layout without changing statement order.,True,204,3243,880aac597b69
codexglue,25741,25741__brace_line_shift,brace_line_shift,1,first function opening brace shifted,preserved,low,Moves the first opening brace to a conventional layout without changing statement order.,True,76,1160,53826eaef64f
codexglue,4539,4539__brace_line_shift,brace_line_shift,1,first function opening brace shifted,preserved,low,Moves the first opening brace to a conventional layout without changing statement order.,True,70,1089,19771a6a3ef4
codexglue,14982,14982__brace_line_shift,brace_line_shift,0,first function opening brace shifted,preserved,low,Moves the first opening brace to a conventional layout without changing statement order.,True,66,1037,8bba8b685674
codexglue,20151,20151__brace_line_shift,brace_line_shift,0,first function opening brace shifted,preserved,low,Moves the first opening brace to a conventional layout without changing statement order.,True,18,267,33172ece3fb7
codexglue,19469,19469__brace_line_shift,brace_line_shift,0,first function opening brace shifted,preserved,low,Moves the first opening brace to a conventional layout without changing statement order.,True,176,3038,d9c07812259b
codexglue,15252,15252__brace_line_shift,brace_line_shift,0,first function opening brace shifted,preserved,low,Moves the first opening brace to a conventional layout without changing statement order.,True,274,5307,bc231eeeeeb2
codexglue,4064,4064__brace_line_shift,brace_line_shift,1,first function opening brace shifted,preserved,low,Moves the first opening brace to a conventional layout without changing statement order.,True,180,2604,c4da7b9f117f
codexglue,15846,15846__brace_line_shift,brace_line_shift,1,first function opening brace shifted,preserved,low,Moves the first opening brace to a conventional layout without changing statement order.,True,14,244,448f99b6a3c1
codexglue,8707,8707__brace_line_shift,brace_line_shift,1,first function opening brace shifted,preserved,low,Moves the first opening brace to a conventional layout without changing statement order.,True,142,2370,c54e97ac3d6e
codexglue,20283,20283__brace_line_shift,brace_line_shift,0,first function opening brace shifted,preserved,low,Moves the first opening brace to a conventional layout without changing statement order.,True,88,1330,78238a807062
codexglue,7480,7480__brace_line_shift,brace_line_shift,0,first function opening brace shifted,preserved,low,Moves the first opening brace to a conventional layout without changing statement order.,True,60,872,de0d7c5f0aa7
codexglue,1059,1059__brace_line_shift,brace_line_shift,1,first function opening brace shifted,preserved,low,Moves the first opening brace to a conventional layout without changing statement order.,True,16,233,ce2ea9dd062d
codexglue,27311,27311__brace_line_shift,brace_line_shift,0,first function opening brace shifted,preserved,low,Moves the first opening brace to a conventional layout without changing statement order.,True,40,847,9128dd119526
codexglue,7651,7651__brace_line_shift,brace_line_shift,0,first function opening brace shifted,preserved,low,Moves the first opening brace to a conventional layout without changing statement order.,True,18,200,032403e89d8b
codexglue,17030,17030__brace_line_shift,brace_line_shift,0,first function opening brace shifted,preserved,low,Moves the first opening brace to a conventional layout without changing statement order.,True,138,1991,201bcf5bfe00
codexglue,27045,27045__brace_line_shift,brace_line_shift,0,first function opening brace shifted,preserved,low,Moves the first opening brace to a conventional layout without changing statement order.,True,12,170,d9395aa55e0d
codexglue,2124,2124__brace_line_shift,brace_line_shift,1,first function opening brace shifted,preserved,low,Moves the first opening brace to a conventional layout without changing statement order.,True,157,2060,44731217c34e
codexglue,4555,4555__brace_line_shift,brace_line_shift,0,first function opening brace shifted,preserved,low,Moves the first opening brace to a conventional layout without changing statement order.,True,24,476,cc6c6074b5d7
codexglue,23429,23429__brace_line_shift,brace_line_shift,1,first function opening brace shifted,preserved,low,Moves the first opening brace to a conventional layout without changing statement order.,True,252,5060,60e8b9c89ca4
codexglue,8181,8181__brace_line_shift,brace_line_shift,0,first function opening brace shifted,preserved,low,Moves the first opening brace to a conventional layout without changing statement order.,True,174,2250,82ba1d15364f
codexglue,23933,23933__brace_line_shift,brace_line_shift,0,first function opening brace shifted,preserved,low,Moves the first opening brace to a conventional layout without changing statement order.,True,108,1934,45fb9c5ed4b9
codexglue,17929,17929__brace_line_shift,brace_line_shift,1,first function opening brace shifted,preserved,low,Moves the first opening brace to a conventional layout without changing statement order.,True,122,2075,61c7b0f1477b
codexglue,17120,17120__brace_line_shift,brace_line_shift,0,first function opening brace shifted,preserved,low,Moves the first opening brace to a conventional layout without changing statement order.,True,448,8985,be9c96804e02
codexglue,20299,20299__brace_line_shift,brace_line_shift,0,first function opening brace shifted,preserved,low,Moves the first opening brace to a conventional layout without changing statement order.,True,30,317,2c66d5ea5ab3
codexglue,17710,17710__brace_line_shift,brace_line_shift,0,first function opening brace shifted,preserved,low,Moves the first opening brace to a conventional layout without changing statement order.,True,46,910,286f1ba456c2
codexglue,10291,10291__brace_line_shift,brace_line_shift,0,first function opening brace shifted,preserved,low,Moves the first opening brace to a conventional layout without changing statement order.,True,90,1390,3a4d5a10923b
codexglue,4009,4009__brace_line_shift,brace_line_shift,1,first function opening brace shifted,preserved,low,Moves the first opening brace to a conventional layout without changing statement order.,True,106,1572,4811b340d1f3
codexglue,7420,7420__brace_line_shift,brace_line_shift,0,first function opening brace shifted,preserved,low,Moves the first opening brace to a conventional layout without changing statement order.,True,16,225,136457b830fc
codexglue,21459,21459__brace_line_shift,brace_line_shift,0,first function opening brace shifted,preserved,low,Moves the first opening brace to a conventional layout without changing statement order.,True,318,4442,acbe37038bc8
codexglue,10316,10316__brace_line_shift,brace_line_shift,0,first function opening brace shifted,preserved,low,Moves the first opening brace to a conventional layout without changing statement order.,True,6,71,cbd457744efb
codexglue,19133,19133__brace_line_shift,brace_line_shift,0,first function opening brace shifted,preserved,low,Moves the first opening brace to a conventional layout without changing statement order.,True,94,1435,84dc6c5672dc
codexglue,710,710__brace_line_shift,brace_line_shift,1,first function opening brace shifted,preserved,low,Moves the first opening brace to a conventional layout without changing statement order.,True,298,4555,fc1a2f002a97
codexglue,19808,19808__brace_line_shift,brace_line_shift,1,first function opening brace shifted,preserved,low,Moves the first opening brace to a conventional layout without changing statement order.,True,72,1370,133bbc02f1ed
codexglue,19441,19441__brace_line_shift,brace_line_shift,1,first function opening brace shifted,preserved,low,Moves the first opening brace to a conventional layout without changing statement order.,True,48,724,778f2d9cb3bd
codexglue,19373,19373__brace_line_shift,brace_line_shift,0,first function opening brace shifted,preserved,low,Moves the first opening brace to a conventional layout without changing statement order.,True,62,1020,910cefb61e9c
codexglue,18673,18673__brace_line_shift,brace_line_shift,0,first function opening brace shifted,preserved,low,Moves the first opening brace to a conventional layout without changing statement order.,True,16,452,72140c144a7d
codexglue,23809,23809__code_normalization_abstraction,code_normalization_abstraction,1,parenthesized simple return expressions,preserved,low,Parenthesizes simple return expressions; the expression value and control flow are unchanged.,True,21,294,ba2390ff4a4d
codexglue,24351,24351__code_normalization_abstraction,code_normalization_abstraction,1,parenthesized simple return expressions,preserved,low,Parenthesizes simple return expressions; the expression value and control flow are unchanged.,True,81,1314,a07efdbe5b29
codexglue,17428,17428__code_normalization_abstraction,code_normalization_abstraction,1,parenthesized simple return expressions,preserved,low,Parenthesizes simple return expressions; the expression value and control flow are unchanged.,True,211,3038,8ed246e8938e
codexglue,12853,12853__code_normalization_abstraction,code_normalization_abstraction,0,parenthesized simple return expressions,preserved,low,Parenthesizes simple return expressions; the expression value and control flow are unchanged.,True,199,3099,9e417d4139c0
codexglue,14144,14144__code_normalization_abstraction,code_normalization_abstraction,1,parenthesized simple return expressions,preserved,low,Parenthesizes simple return expressions; the expression value and control flow are unchanged.,True,23,414,85df95279621
codexglue,1770,1770__code_normalization_abstraction,code_normalization_abstraction,0,parenthesized simple return expressions,preserved,low,Parenthesizes simple return expressions; the expression value and control flow are unchanged.,True,37,535,45e3613d521b
codexglue,13156,13156__code_normalization_abstraction,code_normalization_abstraction,0,parenthesized simple return expressions,preserved,low,Parenthesizes simple return expressions; the expression value and control flow are unchanged.,True,57,891,697443621747
codexglue,22418,22418__code_normalization_abstraction,code_normalization_abstraction,0,parenthesized simple return expressions,preserved,low,Parenthesizes simple return expressions; the expression value and control flow are unchanged.,True,23,272,56351f0538ec
codexglue,15067,15067__code_normalization_abstraction,code_normalization_abstraction,0,parenthesized simple return expressions,preserved,low,Parenthesizes simple return expressions; the expression value and control flow are unchanged.,True,291,4392,da9c25d58a37
codexglue,27254,27254__code_normalization_abstraction,code_normalization_abstraction,0,parenthesized simple return expressions,preserved,low,Parenthesizes simple return expressions; the expression value and control flow are unchanged.,True,55,739,2a871a9e6879
codexglue,16204,16204__code_normalization_abstraction,code_normalization_abstraction,1,parenthesized simple return expressions,preserved,low,Parenthesizes simple return expressions; the expression value and control flow are unchanged.,True,155,2272,7e06dc2c41a3
codexglue,2656,2656__code_normalization_abstraction,code_normalization_abstraction,1,parenthesized simple return expressions,preserved,low,Parenthesizes simple return expressions; the expression value and control flow are unchanged.,True,217,3692,6aaf719bc10f
codexglue,23105,23105__code_normalization_abstraction,code_normalization_abstraction,0,parenthesized simple return expressions,preserved,low,Parenthesizes simple return expressions; the expression value and control flow are unchanged.,True,145,1893,8c47da736608
codexglue,17452,17452__code_normalization_abstraction,code_normalization_abstraction,0,parenthesized simple return expressions,preserved,low,Parenthesizes simple return expressions; the expression value and control flow are unchanged.,True,151,2915,b39e65b7a0e2
codexglue,1657,1657__code_normalization_abstraction,code_normalization_abstraction,0,parenthesized simple return expressions,preserved,low,Parenthesizes simple return expressions; the expression value and control flow are unchanged.,True,83,1667,7d0c46558bf3
codexglue,13548,13548__code_normalization_abstraction,code_normalization_abstraction,1,parenthesized simple return expressions,preserved,low,Parenthesizes simple return expressions; the expression value and control flow are unchanged.,True,63,956,64ed2f9fc346
codexglue,5356,5356__code_normalization_abstraction,code_normalization_abstraction,0,parenthesized simple return expressions,preserved,low,Parenthesizes simple return expressions; the expression value and control flow are unchanged.,True,407,9812,8518d9678be4
codexglue,15653,15653__code_normalization_abstraction,code_normalization_abstraction,0,parenthesized simple return expressions,preserved,low,Parenthesizes simple return expressions; the expression value and control flow are unchanged.,True,53,1042,7d3816df6e74
codexglue,25550,25550__code_normalization_abstraction,code_normalization_abstraction,0,parenthesized simple return expressions,preserved,low,Parenthesizes simple return expressions; the expression value and control flow are unchanged.,True,37,509,0d93ff66ae41
codexglue,20643,20643__code_normalization_abstraction,code_normalization_abstraction,1,parenthesized simple return expressions,preserved,low,Parenthesizes simple return expressions; the expression value and control flow are unchanged.,True,37,537,12db512d800e
codexglue,20054,20054__code_normalization_abstraction,code_normalization_abstraction,0,parenthesized simple return expressions,preserved,low,Parenthesizes simple return expressions; the expression value and control flow are unchanged.,True,547,6733,9c0c63283967
codexglue,16147,16147__code_normalization_abstraction,code_normalization_abstraction,0,parenthesized simple return expressions,preserved,low,Parenthesizes simple return expressions; the expression value and control flow are unchanged.,True,93,1535,b277ff0aa86c
codexglue,3743,3743__code_normalization_abstraction,code_normalization_abstraction,0,parenthesized simple return expressions,preserved,low,Parenthesizes simple return expressions; the expression value and control flow are unchanged.,True,203,3216,d51f98faff7a
codexglue,3274,3274__code_normalization_abstraction,code_normalization_abstraction,0,parenthesized simple return expressions,preserved,low,Parenthesizes simple return expressions; the expression value and control flow are unchanged.,True,53,821,a54dedf7c110
codexglue,14309,14309__code_normalization_abstraction,code_normalization_abstraction,1,parenthesized simple return expressions,preserved,low,Parenthesizes simple return expressions; the expression value and control flow are unchanged.,True,10,279,8aae78a0dcee
codexglue,12616,12616__code_normalization_abstraction,code_normalization_abstraction,0,parenthesized simple return expressions,preserved,low,Parenthesizes simple return expressions; the expression value and control flow are unchanged.,True,99,2000,cbd7d01b57e7
codexglue,1145,1145__code_normalization_abstraction,code_normalization_abstraction,0,parenthesized simple return expressions,preserved,low,Parenthesizes simple return expressions; the expression value and control flow are unchanged.,True,85,1142,72e8b5ae1ca5
codexglue,24921,24921__code_normalization_abstraction,code_normalization_abstraction,1,parenthesized simple return expressions,preserved,low,Parenthesizes simple return expressions; the expression value and control flow are unchanged.,True,189,2942,032dc92b5365
codexglue,18598,18598__code_normalization_abstraction,code_normalization_abstraction,0,parenthesized simple return expressions,preserved,low,Parenthesizes simple return expressions; the expression value and control flow are unchanged.,True,19,399,e9b03e1a2c85
codexglue,21776,21776__code_normalization_abstraction,code_normalization_abstraction,1,parenthesized simple return expressions,preserved,low,Parenthesizes simple return expressions; the expression value and control flow are unchanged.,True,43,471,a6cf993200e6
codexglue,9301,9301__code_normalization_abstraction,code_normalization_abstraction,1,parenthesized simple return expressions,preserved,low,Parenthesizes simple return expressions; the expression value and control flow are unchanged.,True,225,4187,0e923c1ef188
codexglue,4341,4341__code_normalization_abstraction,code_normalization_abstraction,0,parenthesized simple return expressions,preserved,low,Parenthesizes simple return expressions; the expression value and control flow are unchanged.,True,183,3012,b7366f6f0ef1
codexglue,9109,9109__code_normalization_abstraction,code_normalization_abstraction,1,parenthesized simple return expressions,preserved,low,Parenthesizes simple return expressions; the expression value and control flow are unchanged.,True,187,3649,d627c49178e7
codexglue,2846,2846__code_normalization_abstraction,code_normalization_abstraction,1,parenthesized simple return expressions,preserved,low,Parenthesizes simple return expressions; the expression value and control flow are unchanged.,True,135,2105,859e66e50abf
codexglue,21762,21762__code_normalization_abstraction,code_normalization_abstraction,1,parenthesized simple return expressions,preserved,low,Parenthesizes simple return expressions; the expression value and control flow are unchanged.,True,209,2860,c97fbf3b3063
codexglue,70,70__code_normalization_abstraction,code_normalization_abstraction,0,parenthesized simple return expressions,preserved,low,Parenthesizes simple return expressions; the expression value and control flow are unchanged.,True,21,355,be1f8282de6c
codexglue,23692,23692__code_normalization_abstraction,code_normalization_abstraction,0,parenthesized simple return expressions,preserved,low,Parenthesizes simple return expressions; the expression value and control flow are unchanged.,True,161,2756,b9b0287168b7
codexglue,23870,23870__code_normalization_abstraction,code_normalization_abstraction,0,parenthesized simple return expressions,preserved,low,Parenthesizes simple return expressions; the expression value and control flow are unchanged.,True,349,7113,e8ddbbd370e4
codexglue,13899,13899__code_normalization_abstraction,code_normalization_abstraction,1,parenthesized simple return expressions,preserved,low,Parenthesizes simple return expressions; the expression value and control flow are unchanged.,True,87,2021,ddd90865facd
codexglue,24433,24433__code_normalization_abstraction,code_normalization_abstraction,0,parenthesized simple return expressions,preserved,low,Parenthesizes simple return expressions; the expression value and control flow are unchanged.,True,25,295,7688d402ab57
codexglue,19886,19886__comment_banner,comment_banner,0,comment inserted,preserved,low,Inserts a C/C++ block comment after the opening brace; comments are not executable.,True,122,1645,6b1bd7f2dd15
codexglue,9349,9349__comment_banner,comment_banner,1,comment inserted,preserved,low,Inserts a C/C++ block comment after the opening brace; comments are not executable.,True,312,7002,f9a065a7f79a
codexglue,25831,25831__comment_banner,comment_banner,1,comment inserted,preserved,low,Inserts a C/C++ block comment after the opening brace; comments are not executable.,True,18,333,fda08f86988b
codexglue,4166,4166__comment_banner,comment_banner,1,comment inserted,preserved,low,Inserts a C/C++ block comment after the opening brace; comments are not executable.,True,96,1824,176bb933d0a3
codexglue,12668,12668__comment_banner,comment_banner,0,comment inserted,preserved,low,Inserts a C/C++ block comment after the opening brace; comments are not executable.,True,10,142,923ad6bf67a4
codexglue,23307,23307__comment_banner,comment_banner,1,comment inserted,preserved,low,Inserts a C/C++ block comment after the opening brace; comments are not executable.,True,188,2601,e4dc3d297fc8
codexglue,18329,18329__comment_banner,comment_banner,1,comment inserted,preserved,low,Inserts a C/C++ block comment after the opening brace; comments are not executable.,True,38,579,e32f2ad2f746
codexglue,16083,16083__comment_banner,comment_banner,0,comment inserted,preserved,low,Inserts a C/C++ block comment after the opening brace; comments are not executable.,True,18,253,6c96ff8ebb46
codexglue,7814,7814__comment_banner,comment_banner,0,comment inserted,preserved,low,Inserts a C/C++ block comment after the opening brace; comments are not executable.,True,46,751,fbb39e4dc2ce
codexglue,10278,10278__comment_banner,comment_banner,0,comment inserted,preserved,low,Inserts a C/C++ block comment after the opening brace; comments are not executable.,True,54,867,97c6ffbed938
codexglue,12814,12814__comment_banner,comment_banner,1,comment inserted,preserved,low,Inserts a C/C++ block comment after the opening brace; comments are not executable.,True,22,798,31dde9cfab8d
codexglue,7777,7777__comment_banner,comment_banner,0,comment inserted,preserved,low,Inserts a C/C++ block comment after the opening brace; comments are not executable.,True,52,895,eb4a84577d72
codexglue,24559,24559__comment_banner,comment_banner,1,comment inserted,preserved,low,Inserts a C/C++ block comment after the opening brace; comments are not executable.,True,62,954,ff7ef7da6167
codexglue,25958,25958__comment_banner,comment_banner,0,comment inserted,preserved,low,Inserts a C/C++ block comment after the opening brace; comments are not executable.,True,122,1594,ec94592320e5
codexglue,5731,5731__comment_banner,comment_banner,1,comment inserted,preserved,low,Inserts a C/C++ block comment after the opening brace; comments are not executable.,True,12,206,df9453ffa06e
codexglue,11529,11529__comment_banner,comment_banner,0,comment inserted,preserved,low,Inserts a C/C++ block comment after the opening brace; comments are not executable.,True,16,304,6f7c239a949d
codexglue,13236,13236__comment_banner,comment_banner,1,comment inserted,preserved,low,Inserts a C/C++ block comment after the opening brace; comments are not executable.,True,18,319,c0139941bb9f
codexglue,7982,7982__comment_banner,comment_banner,1,comment inserted,preserved,low,Inserts a C/C++ block comment after the opening brace; comments are not executable.,True,36,502,29f159923901
codexglue,1215,1215__comment_banner,comment_banner,0,comment inserted,preserved,low,Inserts a C/C++ block comment after the opening brace; comments are not executable.,True,24,534,209451497092
codexglue,2471,2471__comment_banner,comment_banner,0,comment inserted,preserved,low,Inserts a C/C++ block comment after the opening brace; comments are not executable.,True,36,539,04e6e2e7b2d6
codexglue,14612,14612__comment_banner,comment_banner,1,comment inserted,preserved,low,Inserts a C/C++ block comment after the opening brace; comments are not executable.,True,284,5404,340aa21a872c
codexglue,7109,7109__comment_banner,comment_banner,0,comment inserted,preserved,low,Inserts a C/C++ block comment after the opening brace; comments are not executable.,True,834,15019,d19b58295bb7
codexglue,3722,3722__comment_banner,comment_banner,1,comment inserted,preserved,low,Inserts a C/C++ block comment after the opening brace; comments are not executable.,True,54,819,af2c413bbdb9
codexglue,10842,10842__comment_banner,comment_banner,1,comment inserted,preserved,low,Inserts a C/C++ block comment after the opening brace; comments are not executable.,True,816,16779,8941d8485f82
codexglue,3460,3460__comment_banner,comment_banner,1,comment inserted,preserved,low,Inserts a C/C++ block comment after the opening brace; comments are not executable.,True,100,2294,c43769f155cd
codexglue,7780,7780__comment_banner,comment_banner,0,comment inserted,preserved,low,Inserts a C/C++ block comment after the opening brace; comments are not executable.,True,52,700,7d5ad77de651
codexglue,2911,2911__comment_banner,comment_banner,0,comment inserted,preserved,low,Inserts a C/C++ block comment after the opening brace; comments are not executable.,True,60,877,0e8150499145
codexglue,9101,9101__comment_banner,comment_banner,1,comment inserted,preserved,low,Inserts a C/C++ block comment after the opening brace; comments are not executable.,True,42,958,659d667bd29f
codexglue,2737,2737__comment_banner,comment_banner,0,comment inserted,preserved,low,Inserts a C/C++ block comment after the opening brace; comments are not executable.,True,192,4003,5739740a113f
codexglue,21538,21538__comment_banner,comment_banner,0,comment inserted,preserved,low,Inserts a C/C++ block comment after the opening brace; comments are not executable.,True,480,11279,c7ec55540fd0
codexglue,22970,22970__comment_banner,comment_banner,1,comment inserted,preserved,low,Inserts a C/C++ block comment after the opening brace; comments are not executable.,True,104,1892,2a2501942ef8
